Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Contract_One year,Contract_Two Year,OnlineSecurity_Yes,TechSupport_Yes,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
38,0,68,28561.99,-0.6799776032108321,10,0,1,-1.0487462125145348,-0.003942558795863967,-1.138487026758293,1,0,1,0,1,0,1,0,0
10446,1,27,21704.77,0.5703310909326953,12,0,1,-1.2620011592580802,1.6303258974820913,-1.1858758365750726,0,0,1,0,1,0,0,0,0
3735,4,50,9609.57,0.25234705329419904,9,0,1,-0.709939803296579,-0.29522481741427764,-0.6121377506525425,0,1,0,0,0,0,1,0,0
13863,1,48,18925.23,1.6505058518829352,15,2,0,-0.6595239638828064,-1.2265210716378776,-0.5618571466817585,0,1,1,0,0,0,0,0,1
11352,0,83,40074.19,-0.623156047089417,16,2,1,-1.2425512017143743,-0.5280857047971815,-1.4281844686402452,0,0,0,1,1,0,0,0,1
17701,3,83,22660.2,-0.5312245011031589,15,3,1,-1.0409751428135001,0.2883698820424217,-1.0767888928661473,1,0,1,0,0,1,0,1,0
2535,0,79,11467.5,0.3968171392224275,10,0,1,-0.8051442122278709,0.6402676647225805,-0.6796212586964383,0,0,0,1,0,0,0,1,0
23144,2,30,26759.64,-0.7427124195663637,16,0,0,-1.1444758337339471,-1.3430982633741453,-1.1041299460065446,0,0,0,0,0,0,0,0,1
17351,2,49,58634.51,-1.432469057306725,20,2,3,-0.9948475885163598,-1.2844669060845046,-0.9516201278501973,0,0,1,0,0,0,0,0,0
20193,1,86,50231.4,-0.4348389167038134,18,1,0,-1.1763258177700682,-0.23618767028397689,-1.319603139560853,0,1,1,0,1,0,0,0,1
555,7,23,22580.7,-0.22185659578786143,9,0,2,-0.5770772231059956,0.05433745551954222,-0.3036692559674181,0,0,1,0,0,0,0,0,1
33372,2,56,18342.12,-1.1159833426546335,17,1,1,-0.9078143071046398,-0.527764868835358,-1.012157858334297,0,0,0,0,1,0,0,1,0
556,0,83,83671.08,-0.5806612799430625,9,0,0,-0.8136641324836795,-0.8193965142531648,-1.0049277035553403,0,0,0,0,1,0,0,0,0
0,5,29,115114.57,-1.3848998900506508,14,1,0,-0.6673905557377415,0.28752742274395915,-0.6606519202176776,0,1,1,1,1,0,0,0,0
8165,1,30,64256.81,0.6011290888937205,10,3,0,-0.9252790723682481,-0.2948056836666627,-0.8283261280844844,0,0,0,1,0,0,0,0,0
2093,3,39,89061.45,0.26769363903760607,13,1,0,-0.7811957463028438,0.11704315239957072,-0.7103868401018525,1,0,1,0,0,1,0,1,0
50079,0,63,31659.3,1.1831829342716649,13,1,0,-0.7088806634846492,0.5202835849094483,-0.604966841184781,0,0,0,0,0,0,0,0,0
7249,2,60,44142.81,-0.05735514010217622,16,3,0,-1.218636000354586,0.6999856072733608,-1.1487550410882605,0,1,1,1,0,1,0,0,1
9463,3,61,39262.14,-0.14353530992114066,11,1,0,-0.6586643495147995,-0.46887827730447623,-0.7135525973023463,0,1,0,1,0,1,0,0,0
3177,3,23,19494.75,0.30935918021572856,10,1,0,-0.8214296515667315,-0.5281706586760181,-0.6581869982279508,0,0,0,0,0,0,1,0,0
69,4,38,39624.21,0.6946013958706415,14,0,3,-0.5321993969828047,0.28768908662194215,-0.48601005518490786,0,0,1,0,1,0,0,0,0
14440,3,30,45714.47,-1.0138305010199666,18,1,0,-1.2143752859646828,-1.0509561028982644,-1.280548499448172,0,1,1,0,1,0,0,0,0
381,3,52,27442.03,-0.21132390956102817,16,1,1,-1.054162420093918,-1.1099082961497284,-1.2261101571312558,0,0,0,1,1,0,0,1,0
2193,2,68,79699.62,-0.972100660670392,9,0,0,-0.9826308773775781,-0.5280857047971815,-1.1197956245812268,1,0,0,1,1,0,0,1,0
9434,3,75,28520.32,1.2587683298101524,15,1,0,-1.0875153205165573,-0.2355068748634973,-1.1539420665647315,0,0,1,0,0,1,1,0,0
29568,1,77,12558.83,-0.07869298174822566,12,1,0,-1.1485071989623208,-1.866975020280065,-1.1980894716016361,0,0,0,0,0,0,0,0,0
3089,1,47,8762.23,1.9694276252560166,15,0,1,-0.9122140515257888,1.164975772648398,-0.8630365474292174,0,0,1,0,1,0,0,0,1
5652,0,70,43882.72,1.5909020495836605,12,0,0,-1.25308568712767,-0.7601890867604595,-1.360658197363495,0,0,0,0,0,1,0,1,0
1716,3,20,10482.52,1.1538580952306203,13,2,0,-1.2516498984328337,0.640588500684404,-0.9760846270524461,1,0,0,0,0,0,0,0,0
52484,4,69,33442.79,0.20695223342775257,18,1,0,-1.100544923191214,1.9800783851314638,-0.7538103880389817,0,1,1,0,0,0,1,0,0
11268,9,45,43383.54,-1.138751664278493,14,0,0,-0.8866023841903011,1.3385895268468702,-0.7307735469823262,0,1,0,0,1,0,1,0,0
1765,0,40,21793.88,-1.8655639512216549,13,2,0,-1.1701197658139526,-0.5853507438233292,-1.327056348209172,0,1,0,1,0,1,0,1,0
680,6,82,51960.51,-0.4123840445518149,9,0,0,-1.1269605980785402,1.3385895268468702,-1.0883965188612057,0,0,0,0,1,0,0,1,0
136,5,74,25942.1,0.3796264308214526,8,1,1,-0.515357688285214,0.05433745551954222,-0.325637960287283,0,0,1,0,0,0,0,1,0
1517,4,69,11211.59,-1.4990771424928901,15,1,0,-1.1744634661179154,2.2132683523558807,-1.0573597060308366,1,0,1,1,1,0,0,0,1
14103,1,52,8283.29,1.2775350846767848,11,0,1,-1.098550980314668,-0.2361743263770214,-0.9987162631662837,0,0,1,1,0,0,0,0,1
6394,2,26,10114.81,2.119824427649595,16,1,1,-1.1804516554861881,1.3359816663294255,-1.1416648784921675,0,0,1,1,1,0,1,0,0
5059,1,25,36229.21,-0.18642708763845017,9,2,0,-1.0349026237845231,-0.7597302473211176,-0.9387813135210594,1,0,1,0,0,0,0,1,0
20450,1,66,25397.44,2.29820503285419,12,1,0,-0.9333207387803955,0.2873682506601193,-1.0426335806062994,0,1,1,1,1,0,1,0,0
