Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Contract_One year,Contract_Two Year,OnlineSecurity_Yes,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
827,2,55,50217.94,0.1940110851119794,12,1,0,1.2471796999131126,-0.3529269217907562,1.0699741982365112,True,False,False,True,False,False,False,False
21589,2,34,32331.8,-0.49390026056504327,13,0,0,-1.2207961181094253,0.2290583813905824,-1.2629890699589297,False,False,False,True,False,False,True,False
214,1,66,43551.35,-0.3087833327330009,10,1,0,-1.21476924618914,-0.003593171996471495,-1.1399735802676878,True,False,False,False,False,True,False,False
8483,3,87,80780.17,1.6568940198979443,10,0,0,-1.0773700827408041,1.1641448873844142,-0.8762562200276615,False,False,False,False,False,False,False,False
3414,8,52,18849.08,-0.11787514662029638,10,0,0,0.9625637906012969,-0.06241399879220118,0.9483181147304676,False,True,False,True,False,False,True,False
898,1,63,13223.66,-0.6882175276164257,11,1,0,0.6325083610511858,-0.5277647058207883,0.5119917076908574,False,False,False,True,False,False,False,False
534,2,49,15908.91,0.49486760258547047,10,0,1,-1.1027217422294262,0.22889536682044626,-1.1989629534757333,True,False,False,True,False,False,False,False
1124,1,37,11320.55,-0.11792723222216414,9,0,2,1.0467439528258609,0.05477251811943916,1.1643086764697859,True,False,False,False,False,True,False,False
31859,0,68,59261.2,-0.2425677414560185,10,1,0,0.9600128995150938,-0.2952244215217505,0.9978931250845756,False,True,False,False,False,False,False,False
5168,1,23,38682.52,0.5347282096407981,4,1,0,1.0088746604411651,0.34564873073143965,1.20776271792676,True,False,True,False,False,False,True,False
29294,1,61,28122.28,0.13767126569791566,18,0,0,0.910419341072076,0.5786477846064317,1.0361475843741559,False,False,False,False,False,False,False,True
72479,1,83,2842.64,-0.018455493919324228,17,0,0,0.502752908403012,0.2874222550584258,0.39832404957080947,False,False,False,True,False,False,False,False
3443,4,50,45042.86,0.20281523200836754,10,0,0,0.9687714001326441,-0.17714132447436137,0.9764804673578983,True,False,True,False,True,False,False,False
1401,0,28,13554.79,0.5454309607343086,14,2,0,0.3377970497148916,0.2870170474126589,0.46486110161836586,False,False,False,False,False,False,True,False
33435,0,37,72185.15,-1.629966205798109,11,1,0,1.3571925035808476,-0.004208482135347705,1.239920279043617,False,False,False,True,False,False,False,False
10741,0,47,17528.05,-1.0351798838272814,15,1,2,-1.1805835987297695,-0.5283305992571172,-1.0828824732428677,False,False,False,False,False,False,False,True
242,2,56,56131.21,0.04652625430438135,16,3,1,-0.8965449513433873,-0.003914007958294369,-0.7946974337960897,False,False,False,False,False,False,True,False
27773,0,58,77599.57,-1.371844412494633,17,1,1,0.6091997592091001,0.2291631764713843,0.5102600543127439,False,False,True,True,False,False,False,False
8689,4,51,8361.24,0.5881881993257759,11,0,2,1.3083833110552183,0.17053149315260288,1.2359293534856108,False,True,False,True,False,False,False,False
1936,1,57,75507.18,-0.35207956758215203,11,0,2,0.9256150125092354,1.5716952854019142,0.9036862396754158,False,False,False,True,False,False,True,False
8189,1,63,45016.56,0.3177563940659875,10,2,0,-1.003558867317983,1.1641448873844142,-0.7952398371544855,False,False,False,False,False,False,False,True
42,10,32,36377.21,0.3312448847690805,10,2,0,-0.992409336498164,2.4458353011810336,-0.7173129287160983,False,False,True,True,False,True,False,False
16525,4,19,64727.28,1.3643947212532004,11,0,0,-1.0842972742543189,-1.5756642806874692,-1.0031613739462824,False,True,False,False,False,False,False,False
114,7,54,19826.85,-1.519844474075909,14,0,0,0.613301985393243,0.7527729620870123,0.6083989535788229,False,True,False,True,False,True,False,False
4938,1,81,69965.65,-1.3172190269579558,15,0,0,-0.8424395136518485,-1.8658884350189253,-1.0508905657906205,False,False,False,False,True,False,False,True
6457,1,29,5317.94,-1.2998120413281096,8,3,0,-1.1980705716843298,-0.2944838696174182,-1.0603078158135215,False,False,False,False,False,False,True,False
714,4,39,50666.54,-1.7189608110329233,6,0,2,-0.7764389557931323,1.5716945401924507,-0.6930710339477009,True,False,False,True,False,True,False,False
618,0,65,61583.24,0.544849618210234,11,1,0,1.295636797612759,-0.761276091201922,1.3241253906215587,False,True,False,False,False,False,True,False
5912,0,57,66698.79,0.25543177097922587,11,0,0,-0.9313053784029396,1.1644662589655397,-0.6917004510459032,False,False,False,False,False,False,False,True
2275,1,37,25009.73,0.7062948218324028,13,1,0,-1.0830719766960994,-0.23618753055720282,-1.1536240714686705,False,False,True,True,False,False,False,True
23144,2,30,26759.64,-0.7427124195663637,16,0,0,-1.1444758337339471,-1.3430982633741453,-1.1041299460065446,False,False,False,False,False,False,False,True
