brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
26204,for_sale,245000,3,2,0.12,575184,Dallas,Texas,75051,1034,2/15/2007
103999,for_sale,269000,3,2,0.13,536639,Dallas,Texas,75051,1529,1/14/2013
14121,for_sale,239000,4,2,0.18,1643384,Dallas,Texas,75232,1331,1/1/1979
109950,for_sale,230000,3,2,0.19,343815,Dallas,Texas,75232,1334,2/17/2022
22036,for_sale,244900,3,2,0.17,1163101,Dallas,Texas,75216,1357,
66933,for_sale,255000,3,2,0.2,311223,Dallas,Texas,75216,1607,
58476,for_sale,242000,3,2,0.17,937174,Dallas,Texas,75216,1030,12/28/2021
26872,for_sale,325000,3,2,0.23,572212,Dallas,Texas,75232,1800,9/11/2018
63754,for_sale,244500,3,2,0.21,664076,Dallas,Texas,75216,1236,
99235,for_sale,237400,3,2,0.13,1023112,Dallas,Texas,75241,1165,3/1/2006
83851,for_sale,195000,3,2,0.23,980150,Dallas,Texas,75232,1600,7/7/2021
21920,for_sale,175000,3,1,0.17,1625740,Dallas,Texas,75232,1140,10/27/2021
109950,for_sale,299000,4,2,0.41,1833929,Dallas,Texas,75232,2208,3/26/2020
27306,for_sale,135000,3,2,0.23,1250094,Dallas,Texas,75216,1120,
23833,for_sale,199000,3,2,0.17,1109719,Dallas,Texas,75241,1207,1/12/2022
65812,for_sale,180000,3,2,0.19,1349727,Dallas,Texas,75241,1251,
86150,for_sale,119900,2,1,0.17,1096464,Dallas,Texas,75241,1300,
15807,for_sale,287999,4,2,0.17,839816,Dallas,Texas,75241,1500,4/9/1981
109950,for_sale,250000,3,2,0.27,1690293,Dallas,Texas,75241,2095,6/11/2019
78958,for_sale,179000,3,2,0.13,1602890,Dallas,Texas,75241,1226,8/13/1999
72111,for_sale,211000,3,1,0.18,884361,Dallas,Texas,75216,1286,
5216,for_sale,55000,,,0.15,854312,Dallas,Texas,75241,,
103792,for_sale,320000,4,2,0.2,503536,Dallas,Texas,75216,1787,
45365,for_sale,297000,4,2,0.18,1114312,Dallas,Texas,75216,1646,
30632,for_sale,125000,3,2,0.26,216242,Dallas,Texas,75232,1134,
81431,for_sale,182000,3,1,0.42,1227139,Dallas,Texas,75232,1270,
85177,for_sale,334900,5,2,0.23,803621,Dallas,Texas,75237,2356,
30605,for_sale,40000,,,0.27,886712,Dallas,Texas,75241,,
74287,for_sale,169000,2,1,0.27,713591,Dallas,Texas,75216,812,
97749,for_sale,180000,3,1,0.14,573585,Dallas,Texas,75216,1124,4/1/2019
10260,for_sale,297355,,,0.2,882240,Dallas,Texas,75216,,
31710,for_sale,265000,3,2,0.25,1410419,Dallas,Texas,75241,1556,7/6/2021
103399,for_sale,159000,2,1,0.23,409411,Dallas,Texas,75216,728,
23924,for_sale,210000,3,2,0.15,,Dallas,Texas,75249,1572,10/27/1995
63944,for_sale,179900,3,2,0.25,1422184,Dallas,Texas,75241,1743,12/17/1992
22695,for_sale,219900,3,2,0.18,1178647,Dallas,Texas,75216,1196,6/16/2016
109950,for_sale,399900,4,3,0.28,962523,Dallas,Texas,75232,2723,
52577,for_sale,240000,3,2,0.2,492288,Dallas,Texas,75232,1206,7/16/2009
33713,for_sale,249900,3,2,0.17,1290585,Dallas,Texas,75232,1458,11/4/2005
97749,for_sale,299000,4,2,0.16,720910,Dallas,Texas,75216,1600,
96201,for_sale,269000,5,3,0.18,782305,Dallas,Texas,75241,3061,7/8/2020
102816,for_sale,304500,4,2,0.16,777580,Dallas,Texas,75216,2010,
88771,for_sale,460000,4,4,0.36,350234,Dallas,Texas,75232,3006,
52823,for_sale,200000,4,2,0.2,1523604,Dallas,Texas,75241,1305,1/17/2020
81984,for_sale,254900,3,2,0.18,303937,Dallas,Texas,75216,1448,
22695,for_sale,189000,3,2,0.16,718621,Dallas,Texas,75216,1224,8/5/2008
92845,for_sale,261900,3,2,0.13,1589999,Dallas,Texas,75241,1595,7/18/2006
103889,for_sale,230000,3,2,0.31,745613,Dallas,Texas,75216,1517,1/24/2017
96201,for_sale,85000,,,0.41,1631128,Dallas,Texas,75241,,
75861,for_sale,395000,3,3,0.22,1151066,Dallas,Texas,75216,2640,12/2/2021
51456,for_sale,359990,4,2,0.19,1422224,Dallas,Texas,75241,1735,
29641,for_sale,317500,4,2,0.35,1201474,Dallas,Texas,75216,1749,
66933,for_sale,175000,4,2,0.17,1093402,Dallas,Texas,75241,1187,
71697,for_sale,199000,3,3,0.07,404735,Dallas,Texas,75241,1574,5/30/2007
20851,for_sale,260000,3,2,0.16,1057046,Dallas,Texas,75241,1519,12/10/2018
48808,for_sale,230000,3,2,0.22,343070,Dallas,Texas,75216,1300,
65286,for_sale,249000,3,2,0.19,1110030,Dallas,Texas,75216,1368,
78958,for_sale,50000,,,0.16,1524492,Dallas,Texas,75241,,
15807,for_sale,295000,3,2,0.16,1611719,Dallas,Texas,75249,2134,1/28/2019
32166,for_sale,199000,3,2,0.15,1200846,Dallas,Texas,75241,1008,11/3/1993
32333,for_sale,289000,2,3,0.09,1501792,Dallas,Texas,75232,2020,10/12/2018
109950,for_sale,200000,2,1,0.23,1155106,Dallas,Texas,75216,1092,9/4/2012
2640,for_sale,219000,4,2,0.16,842191,Dallas,Texas,75216,1248,11/19/2021
2640,for_sale,205000,3,1,0.19,1218082,Dallas,Texas,75216,1217,1/21/2022
78465,for_sale,195000,3,1,0.18,770649,Dallas,Texas,75216,1014,
86907,for_sale,75000,,,0.22,1036114,Dallas,Texas,75216,,
4814,for_sale,125000,1,1,0.54,1090458,Dallas,Texas,75216,1760,
78958,for_sale,172000,3,2,0.16,1624438,Dallas,Texas,75241,1104,2/24/1984
45365,for_sale,185000,3,2,0.19,1543520,Dallas,Texas,75241,1312,
105204,for_sale,325000,3,2,0.24,367021,Dallas,Texas,75216,2333,8/21/2015
4302,for_sale,224900,4,2,0.22,1502009,Dallas,Texas,75241,1487,12/20/2021
109950,for_sale,214900,3,2,0.18,334607,Dallas,Texas,75216,1100,12/15/2021
107598,for_sale,179900,3,1,0.15,776766,Dallas,Texas,75216,1052,2/12/2020
53635,for_sale,270000,4,2,0.21,1091429,Dallas,Texas,75241,1849,6/24/2020
33745,for_sale,255000,3,2,0.28,1379509,Dallas,Texas,75241,1660,
23721,for_sale,249900,3,2,0.24,463744,Dallas,Texas,75216,1258,8/9/2002
74414,for_sale,245000,3,2,0.17,1112300,Dallas,Texas,75216,1138,
76124,for_sale,65000,3,2,0.21,1543818,Dallas,Texas,75241,1171,
97548,for_sale,155000,2,1,0.12,1593763,Dallas,Texas,75249,946,2/26/2021
103237,for_sale,150000,3,1,0.16,963788,Dallas,Texas,75216,1032,
59525,for_sale,38000,,,0.17,1512829,Dallas,Texas,75241,,
33306,for_sale,37500,,,0.14,880879,Dallas,Texas,75241,,
53110,for_sale,33750,,,0.09,801975,Dallas,Texas,75216,,
53110,for_sale,305000,4,2,0.17,900636,Dallas,Texas,75216,1568,7/18/2014
10602,for_sale,234900,3,2,0.12,1045302,Dallas,Texas,75241,1122,
53635,for_sale,255000,4,3,0.07,91828,Dallas,Texas,75241,1914,3/21/2022
39667,for_sale,189900,3,2,0.19,1514794,Dallas,Texas,75241,1191,8/7/1998
2301,for_sale,289000,3,2,0.23,898654,Dallas,Texas,75216,1624,3/21/2022
71539,for_sale,289000,3,2,0.23,805913,Dallas,Texas,75216,1628,11/28/2001
3876,for_sale,249900,3,2,0.15,840502,Dallas,Texas,75216,1260,12/17/2012
71247,for_sale,285000,3,2,0.16,1616023,Dallas,Texas,75249,1533,2/14/2002
53079,for_sale,159000,3,2,0.15,1517123,Dallas,Texas,75241,1073,
109950,for_sale,150000,,,0.47,663936,Dallas,Texas,75216,,
97954,for_sale,84900,,,0.43,902043,Dallas,Texas,75225,,
53465,for_sale,267000,3,2,0.16,1252205,Dallas,Texas,75216,1110,2/25/2010
109950,for_sale,240000,4,2,0.23,1535895,Dallas,Texas,75232,1712,
65812,for_sale,225000,3,2,0.21,351176,Dallas,Texas,75241,1746,
48835,for_sale,280000,3,2,0.13,1655773,Dallas,Texas,75241,1587,5/19/2008
109950,for_sale,275000,3,1,0.23,609562,Dallas,Texas,75216,1600,
85177,for_sale,164900,2,1,0.17,884091,Dallas,Texas,75216,1092,6/25/2019
3795,for_sale,189900,3,2,0.11,1580054,Dallas,Texas,75241,1276,5/31/2005
22611,for_sale,175000,3,2,0.16,1016701,Dallas,Texas,75241,1100,
15807,for_sale,345000,4,3,0.32,1793427,Dallas,Texas,75232,2209,
22611,for_sale,179900,3,1,0.17,1232092,Dallas,Texas,75216,912,4/30/2018
71247,for_sale,332000,4,2,0.17,938195,Dallas,Texas,75216,1509,4/2/2018
22036,for_sale,295000,4,2,0.17,903016,Dallas,Texas,75216,1653,12/16/2020
15807,for_sale,289777,3,2,0.18,717616,Dallas,Texas,75216,1379,
71247,for_sale,367000,4,2,0.18,1606386,Dallas,Texas,75249,2102,6/15/2004
71539,for_sale,259000,4,2,0.58,1263618,Dallas,Texas,75216,1969,
71247,for_sale,241000,3,3,0.19,1477330,Dallas,Texas,75241,1814,
63754,for_sale,249000,3,2,0.14,1173731,Dallas,Texas,75216,1476,
85440,for_sale,177900,4,2,0.2,1345598,Dallas,Texas,75241,1130,12/29/2014
102816,for_sale,65000,,,0.28,1419996,Dallas,Texas,75241,,
22036,for_sale,58000,,,0.18,1475085,Dallas,Texas,75241,,
99280,for_sale,220000,3,2,0.17,1611608,Dallas,Texas,75249,1316,3/21/2022
96201,for_sale,275000,3,2,0.27,876863,Dallas,Texas,75216,1929,1/7/2022
86371,for_sale,230000,3,2,0.17,1623122,Dallas,Texas,75249,1626,6/22/2000
65812,for_sale,415000,4,3,0.23,832624,Dallas,Texas,75216,2650,11/15/2021
51525,for_sale,75000,,,0.14,775683,Dallas,Texas,75241,,
20851,for_sale,254999,3,2,0.17,395858,Dallas,Texas,75216,1610,
100038,for_sale,180000,3,2,0.25,1128750,Dallas,Texas,75224,1340,11/7/1985
48832,for_sale,425000,4,3,0.25,1425965,Dallas,Texas,75232,2508,
84714,for_sale,280000,3,2,0.18,1264465,Dallas,Texas,75232,1491,1/14/2021
29641,for_sale,335000,4,2,0.32,1300857,Dallas,Texas,75216,1634,
20916,for_sale,72500,,,0.19,462226,Dallas,Texas,75216,,6/13/1980
27412,for_sale,299000,4,2,0.48,1818086,Dallas,Texas,75232,1088,
20916,for_sale,77500,,,0.33,465021,Dallas,Texas,75216,,
29319,for_sale,225000,3,2,0.17,968832,Dallas,Texas,75216,1590,
78465,for_sale,125000,3,1,0.24,1535173,Dallas,Texas,75232,787,
36341,for_sale,196900,3,2,0.19,803853,Dallas,Texas,75241,1152,
49883,for_sale,410000,4,3,0.4,1693540,Dallas,Texas,75232,2509,10/20/2021
99765,for_sale,40000,,,0.34,1091735,Dallas,Texas,75216,,
27412,for_sale,220000,3,1,0.19,837790,Dallas,Texas,75216,1221,6/2/2015
109987,for_sale,110000,,,0.66,1123895,Dallas,Texas,75224,,
9616,for_sale,195000,3,1,0.19,1515882,Dallas,Texas,75241,1012,2/18/1997
58460,for_sale,249000,4,2,0.19,1588734,Dallas,Texas,75232,1548,7/9/2015
71247,for_sale,368000,4,2,0.26,294377,Dallas,Texas,75232,2130,3/1/1985
15807,for_sale,237000,3,2,0.17,1198693,Dallas,Texas,75216,1279,3/2/2018
48780,for_sale,150000,2,2,0.16,1542730,Dallas,Texas,75241,1276,5/16/1996
109950,for_sale,250000,3,2,0.12,1532708,Dallas,Texas,75237,1738,5/4/2020
74748,for_sale,329900,3,2,0.28,1707527,Dallas,Texas,75232,1884,6/27/1980
71247,for_sale,200000,3,1,0.17,1657313,Dallas,Texas,75232,916,4/27/1987
33463,for_sale,149000,3,3,0.14,1603937,Dallas,Texas,75241,1346,2/7/2001
48804,for_sale,275000,4,2,0.46,1617278,Dallas,Texas,75232,2480,
53157,for_sale,279000,4,2,0.39,968194,Dallas,Texas,75241,1643,2/4/2019
78958,for_sale,156000,3,2,0.18,1524883,Dallas,Texas,75241,1152,
51456,for_sale,245000,4,3,0.16,1614065,Dallas,Texas,75249,2134,9/22/2016
26872,for_sale,185000,4,2,0.14,1112936,Dallas,Texas,75216,1334,7/12/2018
81936,for_sale,274900,3,2,0.12,1634294,Dallas,Texas,75241,1748,8/18/2004
53342,for_sale,249900,3,2,0.26,641222,Dallas,Texas,75216,1621,1/18/2005
55565,for_sale,115000,2,1,0.16,838230,Dallas,Texas,75216,720,12/22/1997
33745,for_sale,254000,3,2,0.11,1611506,Dallas,Texas,75241,1243,
102816,for_sale,190000,3,1,0.16,1518274,Dallas,Texas,75241,963,5/28/2019
96201,for_sale,235000,3,2,0.16,808992,Dallas,Texas,75216,1170,
102816,for_sale,375000,3,2,0.17,924761,Dallas,Texas,75216,2040,
22611,for_sale,175000,3,2,0.18,1613014,Dallas,Texas,75249,1317,10/18/2013
66175,for_sale,149900,3,1,0.18,1320887,Dallas,Texas,75241,1186,
41897,for_sale,360000,3,2,0.28,1429604,Dallas,Texas,75232,1881,1/7/2022
71539,for_sale,259900,4,2,0.16,1207289,Dallas,Texas,75216,1414,
71247,for_sale,345000,3,2,0.19,1799841,Dallas,Texas,75232,1736,1/18/2022
71247,for_sale,354000,3,2,0.17,1823183,Dallas,Texas,75249,1931,5/8/2017
82967,for_sale,175000,,,0.69,989351,Dallas,Texas,75241,,
23657,for_sale,350000,3,2,0.22,1199652,Dallas,Texas,75227,1800,2/5/2018
22036,for_sale,350000,3,3,0.4,1326142,Dallas,Texas,75211,3191,
58792,for_sale,150000,3,2,0.24,1111469,Dallas,Texas,75217,1263,
70999,for_sale,140000,2,1,0.07,1126289,Dallas,Texas,75215,888,2/11/2022
84764,for_sale,305000,4,3,0.14,499103,Dallas,Texas,75253,2522,10/18/2006
66933,for_sale,340000,5,2,0.23,1061399,Dallas,Texas,75233,1900,10/20/2000
47779,for_sale,185000,3,1,0.06,64353,Dallas,Texas,75217,963,3/16/2021
31710,for_sale,277900,4,3,0.11,1149455,Dallas,Texas,75210,1543,11/11/2021
71247,for_sale,233000,3,2,0.19,1789551,Dallas,Texas,75217,1513,4/24/2018
23657,for_sale,425000,2,1,0.17,1549857,Dallas,Texas,75223,1093,10/14/2011
71247,for_sale,270000,3,2,0.18,1729178,Dallas,Texas,75227,1460,10/3/2016
26916,for_sale,299900,3,2,0.18,495948,Dallas,Texas,75228,1636,3/7/2018
23665,for_sale,1280000,5,4,0.14,530085,Dallas,Texas,75214,3586,
13676,for_sale,558600,,,0.09,780561,Dallas,Texas,75211,1862,1/2/1990
46202,for_sale,400000,3,2,0.39,1696762,Dallas,Texas,75228,1601,5/26/2016
26870,for_sale,550000,2,2,0.26,1677013,Dallas,Texas,75208,1735,6/20/2016
26566,for_sale,255000,1,1,3.54,996581,Dallas,Texas,75219,712,
26564,for_sale,349900,4,2,0.11,1024963,Dallas,Texas,75228,1987,3/29/2016
26871,for_sale,644000,2,1,0.2,1554617,Dallas,Texas,75214,1152,6/23/2009
26870,for_sale,4599000,3,4,3.3,806479,Dallas,Texas,75201,4257,10/7/2013
100054,for_sale,750000,3,3,0.08,1423511,Dallas,Texas,75206,2426,4/27/2018
22695,for_sale,875000,3,4,0.18,1455025,Dallas,Texas,75206,2334,9/12/2017
58758,for_sale,1700000,4,4,0.16,1454890,Dallas,Texas,75206,4415,12/23/2019
23721,for_sale,189900,4,3,0.17,902221,Dallas,Texas,75224,1265,7/6/2020
26918,for_sale,415000,2,2,0.31,1620781,Dallas,Texas,75218,1700,9/9/2020
98462,for_sale,185000,3,2,0.17,1269296,Dallas,Texas,75211,1269,2/16/2011
109950,for_sale,210000,3,2,,1276504,Dallas,Texas,75210,1357,
109950,for_sale,265000,3,2,,809730,Dallas,Texas,75215,1557,
53110,for_sale,101000,2,1,0.21,1508859,Dallas,Texas,75224,1070,
64015,for_sale,519000,2,3,,515541,Dallas,Texas,75204,2189,11/1/2021
91189,for_sale,60000,,,0.41,245030,Dallas,Texas,75253,,
15807,for_sale,274900,3,2,0.26,1042075,Dallas,Texas,75233,1542,
26227,for_sale,70000,,,0.18,443569,Dallas,Texas,75215,,
109950,for_sale,60000,,,0.13,880892,Dallas,Texas,75215,,
78465,for_sale,60000,,,0.19,862642,Dallas,Texas,75215,,
15807,for_sale,55000,3,1,0.44,87409,Dallas,Texas,75217,1096,
64015,for_sale,502500,3,4,0.03,494547,Dallas,Texas,75215,2010,
64015,for_sale,495000,3,4,0.03,489629,Dallas,Texas,75215,1999,
64015,for_sale,502500,3,4,0.03,492528,Dallas,Texas,75215,2010,
23665,for_sale,487999,3,4,0.17,1292366,Dallas,Texas,75208,1855,
52577,for_sale,85000,,,0.71,1802922,Dallas,Texas,75217,,
64015,for_sale,517500,3,4,0.03,487628,Dallas,Texas,75215,1994,
26936,for_sale,1400000,5,5,0.46,347320,Dallas,Texas,75218,4160,11/19/1985
97958,for_sale,1000000,,,8.99,912356,Dallas,Texas,75217,,
49153,for_sale,643000,3,3,0.05,801947,Dallas,Texas,75212,1933,
13205,for_sale,690000,3,3,0.04,1173947,Dallas,Texas,75219,2100,
49153,for_sale,647000,3,4,0.04,804909,Dallas,Texas,75212,2209,
41897,for_sale,469000,2,3,0.04,1196262,Dallas,Texas,75204,1800,
53635,for_sale,450000,,,0.17,24601,Dallas,Texas,75223,,
21245,for_sale,199999,,,0.19,446292,Dallas,Texas,75208,,
22611,for_sale,250000,,,0.15,1014970,Dallas,Texas,75223,,
22611,for_sale,250000,,,0.16,1013255,Dallas,Texas,75223,,9/25/1995
100054,for_sale,114900,2,1,0.07,1287609,Dallas,Texas,75210,849,11/13/2009
100054,for_sale,129900,3,2,0.16,825977,Dallas,Texas,75215,1196,8/31/2005
3409,for_sale,375000,1,1,0.05,450450,Dallas,Texas,75206,750,12/28/2018
99234,for_sale,299000,3,2,0.08,237017,Dallas,Texas,75208,1018,2/23/2018
102816,for_sale,325000,3,2,0.16,1367826,Dallas,Texas,75208,1280,
99234,for_sale,450000,3,2,,748263,Dallas,Texas,75219,1283,7/31/2002
45365,for_sale,200000,3,3,0.15,1222020,Dallas,Texas,75210,1451,
20999,for_sale,215000,3,2,0.2,779468,Dallas,Texas,75241,1500,
66677,for_sale,249000,3,1,0.25,1181935,Dallas,Texas,75224,1200,
10601,for_sale,69000,,,0.06,777195,Dallas,Texas,75215,,
48539,for_sale,174900,3,1,0.16,1752886,Dallas,Texas,75217,888,
97818,for_sale,805000,4,5,0.01,1109345,Dallas,Texas,75203,2909,
97818,for_sale,625000,3,4,0.01,1109341,Dallas,Texas,75203,2404,
23665,for_sale,399000,2,3,0.19,756336,Dallas,Texas,75211,1516,
97818,for_sale,449900,3,4,0.01,1109339,Dallas,Texas,75203,1994,
